0,1,2
15-9,"ﺝﺩﻮﻟ ﺮﻘﻣ )11( ﺐﺷﺄﻧ ﻼﻤﺴﻤﻳﺎﺗ ﻻﻮﻈﻴﻔﻳﺓ ﻭﻼﻣﺆﻫﻼﺗ ﻼﻌﻠﻤﻳﺓ ﻭﻼﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ
ﻭﻼﻋﻻﻭﺓ ﻼﻔﻨﻳﺓ ﻞﻠﻋﺎﻤﻠﻴﻧ ﻊﻠﯨ ﻦﻇﺎﻣ ﻮﻇﺎﺌﻓ ﺍﻸﻄﺑﺍﺀ ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ ",١١
16,ﺝﺩﻮﻟ ﺮﻘﻣ )12( ﺐﺷﺄﻧ ﺩﺮﺟﺎﺗ ﻭﻮﻇﺎﺌﻓ ﺍﻸﻄﺑﺍﺀ ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ  )ﻡﻭﺎﻄﻨﻴﻧ(,١٢
17,"ﺝﺩﻮﻟ ﺮﻘﻣ )13( ﺐﺷﺄﻧ ﻼﻣﺆﻫﻼﺗ ﻼﻌﻠﻤﻳﺓ ﻭﻼﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ ﻞﺸﻐﻟ ﻮﻇﺎﺌﻓ ﺍﻸﻄﺑﺍﺀ
ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ  )ﻡﻭﺎﻄﻨﻴﻧ(",١3
18,"ﺝﺩﻮﻟ ﺮﻘﻣ )14( ﺐﺷﺄﻧ ﺩﺮﺟﺎﺗ ﻭﻮﻇﺎﺌﻓ ﺍﻸﻄﺑﺍﺀ ﻭﻼﺼﻳﺍﺪﻟﺓ ﻮﻔﻨﻴﻳ ﻼﻄﺑ )ﻎﻳﺭ
ﻡﻭﺎﻄﻨﻴﻧ(",١4
19,"ﺝﺩﻮﻟ ﺮﻘﻣ )15( ﺐﺷﺄﻧ ﻼﻣﺆﻫﻼﺗ ﻼﻌﻠﻤﻳﺓ ﻭ ﻼﺨﺑﺭﺎﺗ ﻼﻌﻤﻠﻳﺓ ﻞﺸﻐﻟ ﻮﻇﺎﺌﻓ ﺍﻸﻄﺑﺍﺀ
ﻭ ﻼﺼﻳﺍﺪﻟﺓ  ﻮﻔﻨﻴﻳ ﻼﻄﺑ )ﻎﻳﺭ ﻡﻭﺎﻄﻨﻴﻧ( ",١٥
20,ﻼﺟﺩﻮﻟ ﺮﻘﻣ )16( ﺐﺷﺄﻧ ﻼﺘﻌﻴﻴﻧ ﻊﻠﯨ ﻦﻇﺎﻣ ﻼﻌﻗﺩ ﻼﺧﺎﺻ )ﺃ( ﻭ )ﺏ(,١٦
21,"ﺝﺩﻮﻟ ﺮﻘﻣ )17( ﺐﺷﺄﻧ ﻼﻔﺋﺎﺗ ﻭﻼﺨﺑﺭﺎﺗ ﻞﻐﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ ﻼﻋﺎﻤﻠﻴﻧ ﺐﻨﻇﺎﻣ ﻼﻤﻛﺎﻓﺃﺓ
ﻼﺸﻫﺮﻳﺓ ",١7
22,ﺝﺩﻮﻟ ﺮﻘﻣ )18( ﺐﺷﺄﻧ ﻦﻇﺎﻣ ﻼﻌﻗﺩ ﻼﻣﺆﻘﺗ ) ﺃ ( ﻼﺧﺎﺻ ﺐﻐﻳﺭ ﻼﻣﻭﺎﻄﻨﻴﻧ,١8
23,ﺝﺩﻮﻟ ﺮﻘﻣ )19( ﺐﺷﺄﻧ ﻦﻇﺎﻣ ﻼﻌﻗﺩ ﻼﻣﺆﻘﺗ ) ﺏ ( ﻼﺧﺎﺻ ﺏﻼﻣﻭﺎﻄﻨﻴﻧ,١9
24,ﺝﺩﻮﻟ ﺮﻘﻣ )20( ﺐﺷﺄﻧ ﺏﺪﻟ ﻼﻤﻫﺎﻣ ﻻﺮﺴﻤﻳﺓ ﻮﺗﺫﺎﻛﺭ ﻼﺴﻓﺭ,٢٠
25,ﺝﺩﻮﻟ ﺮﻘﻣ )21( ﺏ ﺵﺄﻧ ﺏﺪﻟ ﺍﻺﻴﻓﺍﺩ ﻒﻳ ﺩﻭﺭﺎﺗ ﺕﺩﺮﻴﺒﻳﺓ ﻮﺗﺫﺎﻛﺭ ﻼﺴﻓﺭ,٢١
26,ﻼﺟﺩﻮﻟ ﺮﻘﻣ )22( ﺐﺷﺄﻧ ﻻﺩﺮﺟﺎﺗ ﻼﻤﻗﺭﺭﺓ ﻞﻠﻣﺆﻫﻼﺗ ﻼﻌﻠﻤﻳﺓ,٢٢
26,"ﻼﺟﺩﻮﻟ ﺮﻘﻣ )23( ﺐﺷﺄﻧ ﺩﺮﺟﺎﺗ ﻮﻇﺎﺌﻓ ﻼﻤﻬﻧﺪﺴﻴﻧ ﻮﻣﺍ ﻲﻗﺎﺒﻠﻫﺍ ﻢﻧ ﺩﺮﺟﺎﺗ ﻦﻇﺎﻣ
ﻻﻮﻇﺎﺌﻓ ﻼﻋﺎﻣﺓ ",٢3
27-35,ﺝﺩﻮﻟ ﺮﻘﻣ )24( ﺐﺷﺄﻧ ﻼﻤﺧﻼﻓﺎﺗ ﻭﻼﺟﺯﺍﺀﺎﺗ,٢4
